IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
JULITTA,KOBIETA,197
MARGARITA,KOBIETA,197
LUDOMIRA,KOBIETA,195
ELZBIETA,KOBIETA,195
IZOLDA,KOBIETA,194
LEONORA,KOBIETA,194
CYRYLA,KOBIETA,193
VIOLETA,KOBIETA,192
LIVIA,KOBIETA,191
RUT,KOBIETA,189
ALBERTYNA,KOBIETA,189
FILIPINA,KOBIETA,188
INKA,KOBIETA,187
VALENTINA,KOBIETA,187
SYLVIA,KOBIETA,186
KSYMENA,KOBIETA,185
DAGNA,KOBIETA,184
ŻANETTA,KOBIETA,184
HANNAH,KOBIETA,183
DEBORA,KOBIETA,182
ESTHER,KOBIETA,181
ARIADNA,KOBIETA,180
THERESA,KOBIETA,179
JASMIN,KOBIETA,179
RACHELA,KOBIETA,179
BIBIANNA,KOBIETA,178
BOGDA,KOBIETA,178
MAY,KOBIETA,177
KONSTANTYNA,KOBIETA,177
CLARA,KOBIETA,175
MELISA,KOBIETA,173
RYTA,KOBIETA,173
KATE,KOBIETA,171
CECILIA,KOBIETA,170
URSULA,KOBIETA,170
ELISA,KOBIETA,170
JACQUELINE,KOBIETA,168
JANA,KOBIETA,168
PIA,KOBIETA,167
INGEBORGA,KOBIETA,167
RAFAELA,KOBIETA,167
DENISE,KOBIETA,166
JASMINA,KOBIETA,164
ARIANA,KOBIETA,163
ANGELICA,KOBIETA,161
MILA,KOBIETA,161
DORIS,KOBIETA,159
JEAN,KOBIETA,159
FRANCES,KOBIETA,157
MAE,KOBIETA,156
DĄBRÓWKA,KOBIETA,155
KAREN,KOBIETA,154
ANH,KOBIETA,154
LETYCJA,KOBIETA,154
JUDITH,KOBIETA,154
ANIDA,KOBIETA,154
EDITH,KOBIETA,153
MALGORZATA,KOBIETA,152
AIDA,KOBIETA,151
SELENA,KOBIETA,149
ALOJZA,KOBIETA,149
HELENE,KOBIETA,149
ROXANA,KOBIETA,148
JULIANA,KOBIETA,148
ESTER,KOBIETA,147
SOFIE,KOBIETA,145
KARMEN,KOBIETA,145
OTOLIA,KOBIETA,145
PRZEMYSŁAWA,KOBIETA,145
BIANCA,KOBIETA,144
MARIETA,KOBIETA,143
LILLY,KOBIETA,143
ASTRID,KOBIETA,143
WINCENTA,KOBIETA,142
LUCY,KOBIETA,142
WIERA,KOBIETA,141
EDMUNDA,KOBIETA,141
SAMANTHA,KOBIETA,141
ORIANA,KOBIETA,140
THERESE,KOBIETA,139
ANICETA,KOBIETA,139
BELLA,KOBIETA,137
FLORA,KOBIETA,137
TOLA,KOBIETA,136
MARIA TERESA,KOBIETA,136
HANA,KOBIETA,136
KRYSTIANA,KOBIETA,134
BEATRYCZE,KOBIETA,134
NATHALIE,KOBIETA,133
LORA,KOBIETA,133
AURELA,KOBIETA,131
JESICA,KOBIETA,131
HIERONIMA,KOBIETA,131
MELISSA,KOBIETA,131
AFRODYTA,KOBIETA,131
NIKOLETTA,KOBIETA,130
ANDŻELINA,KOBIETA,129
LAURENCJA,KOBIETA,129
MARGARETE,KOBIETA,128
ANDRZELIKA,KOBIETA,126
JESIKA,KOBIETA,125
KLEOPATRA,KOBIETA,124
LILI,KOBIETA,124
KIRA,KOBIETA,123
KRYSPINA,KOBIETA,122
MELANIE,KOBIETA,121
REBECCA,KOBIETA,121
RAQUEL,KOBIETA,121
KORDULA,KOBIETA,121
EVE,KOBIETA,121
NELLY,KOBIETA,121
LORENA,KOBIETA,120
FABIOLA,KOBIETA,120
HEDWIG,KOBIETA,120
YVONNE,KOBIETA,119
ELLEN,KOBIETA,119
SUSAN,KOBIETA,118
WŁODZIMIERA,KOBIETA,117
WERA,KOBIETA,117
JASMINE,KOBIETA,117
CHLOE,KOBIETA,117
LUCJANNA,KOBIETA,117
STELA,KOBIETA,116
JULIE,KOBIETA,116
ALMA,KOBIETA,116
FELICYTA,KOBIETA,116
AMY,KOBIETA,116
LUCJANA,KOBIETA,114
ROZWITA,KOBIETA,114
ARKADIA,KOBIETA,114
OLENA,KOBIETA,114
FERNANDA,KOBIETA,114
ŚWIĘTOSŁAWA,KOBIETA,113
WALBURGA,KOBIETA,112
PAULINE,KOBIETA,112
RENEE,KOBIETA,112
AMBER,KOBIETA,112
HERTA,KOBIETA,111
IRIS,KOBIETA,111
KONRADA,KOBIETA,111
VIRGINIA,KOBIETA,110
JOLA,KOBIETA,110
LAILA,KOBIETA,110
SUSANA,KOBIETA,110
SIMONE,KOBIETA,110
IWETTA,KOBIETA,110
CARLA,KOBIETA,110
ISMENA,KOBIETA,109
SUZANNE,KOBIETA,109
ATENA,KOBIETA,109
SILVIA,KOBIETA,108
PETRA,KOBIETA,108
ANNA MARIA,KOBIETA,108
DORA,KOBIETA,108
HILDA,KOBIETA,107
YAEL,KOBIETA,107
CHIARA,KOBIETA,106
INGRIDA,KOBIETA,106
ASHLEY,KOBIETA,106
LUBA,KOBIETA,106
ERWINA,KOBIETA,106
ZOSIA,KOBIETA,105
SATURNINA,KOBIETA,105
DIONIZA,KOBIETA,105
DAMIANA,KOBIETA,105
GUSTAWA,KOBIETA,105
ANIA,KOBIETA,104
ELISE,KOBIETA,103
LINH,KOBIETA,103
IWONKA,KOBIETA,103
SOL,KOBIETA,102
LEILA,KOBIETA,102
GABRIELLE,KOBIETA,102
BERNADETTE,KOBIETA,102
ALOJZJA,KOBIETA,102
ADELINA,KOBIETA,101
ELENI,KOBIETA,101
ŻAKLIN,KOBIETA,101
CORNELIA,KOBIETA,100
CHANTAL,KOBIETA,100
KLOTYLDA,KOBIETA,99
JESSIKA,KOBIETA,99
RAISA,KOBIETA,99
BRIGITTE,KOBIETA,99
FRIDA,KOBIETA,98
DANIELLE,KOBIETA,97
VIVIEN,KOBIETA,97
WISŁAWA,KOBIETA,96
NATASHA,KOBIETA,96
MARION,KOBIETA,96
GERARDA,KOBIETA,96
DOROTHY,KOBIETA,95
TINA,KOBIETA,95
MAI,KOBIETA,95
AVA,KOBIETA,95
LUISE,KOBIETA,95
KIM,KOBIETA,95
MARIA MAGDALENA,KOBIETA,94
NASTAZJA,KOBIETA,94
HOPE,KOBIETA,93
VALERIA,KOBIETA,93
KATHLEEN,KOBIETA,93
PALOMA,KOBIETA,93
KAMILIA,KOBIETA,93
MARIANNE,KOBIETA,91
ADOLFINA,KOBIETA,91
NELL,KOBIETA,91
EMILIE,KOBIETA,91
LEOPOLDA,KOBIETA,91
EVELYN,KOBIETA,90
MARIAM,KOBIETA,90
MAKSYMILIANA,KOBIETA,90
BETINA,KOBIETA,90
JEANNE,KOBIETA,88
SUSANNE,KOBIETA,88
EUFROZYNA,KOBIETA,87
LEAH,KOBIETA,87
ILZA,KOBIETA,87
IWETA,KOBIETA,86
KATARINA,KOBIETA,86
SAMIRA,KOBIETA,85
DINA,KOBIETA,85
INA,KOBIETA,85
